"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2023","89.37","87.02","89.75","86.44","50.69M","2.21%"
"04/27/2023","87.44","86.41","87.57","84.09","52.69M","1.75%"
"04/26/2023","85.94","86.51","87.35","85.32","47.62M","2.55%"
"04/25/2023","83.80","86.90","87.06","83.76","51.92M","-4.31%"
"04/24/2023","87.57","88.11","88.64","86.34","40.35M","-0.97%"
"04/21/2023","88.43","89.80","89.80","88.06","41.12M","-1.86%"
"04/20/2023","90.11","88.82","91.58","88.73","47.08M","0.19%"
"04/19/2023","89.94","88.51","90.54","88.22","36.90M","0.18%"
"04/18/2023","89.78","91.61","92.16","89.33","45.79M","-0.10%"
"04/17/2023","89.87","90.23","90.69","88.30","47.25M","-2.05%"
"04/14/2023","91.75","91.82","92.97","90.50","38.74M","-0.37%"
"04/13/2023","92.09","92.79","93.16","91.83","40.48M","-0.26%"
"04/12/2023","92.33","94.97","95.00","91.74","53.14M","-1.81%"
"04/11/2023","94.03","96.06","96.07","92.69","51.60M","-1.52%"
"04/10/2023","95.48","91.32","95.79","91.02","52.26M","3.26%"
"04/06/2023","92.47","91.47","92.91","90.62","47.78M","-0.10%"
"04/05/2023","92.56","94.35","94.50","91.36","52.57M","-3.45%"
"04/04/2023","95.87","97.04","97.27","95.21","43.12M","-0.71%"
"04/03/2023","96.56","96.69","96.79","94.81","50.46M","-1.48%"
"03/31/2023","98.01","96.34","98.36","95.27","55.86M","0.13%"
"03/30/2023","97.88","98.00","99.53","97.25","58.37M","1.86%"
"03/29/2023","96.09","96.07","96.91","94.87","55.33M","1.62%"
"03/28/2023","94.56","96.77","96.94","92.87","58.50M","-2.12%"
"03/27/2023","96.61","98.02","98.93","95.43","57.31M","-1.37%"
"03/24/2023","97.95","99.18","99.52","96.74","64.74M","-2.32%"
"03/23/2023","100.28","100.05","102.43","98.67","83.31M","2.77%"
"03/22/2023","97.58","95.65","101.70","95.64","110.48M","1.72%"
"03/21/2023","95.93","97.00","99.46","93.64","85.13M","-0.91%"
"03/20/2023","96.81","96.30","96.94","92.90","91.85M","-1.05%"
"03/17/2023","97.84","96.66","98.75","95.94","94.08M","1.28%"
"03/16/2023","96.60","89.72","96.69","89.02","115.98M","7.72%"
"03/15/2023","89.68","86.77","90.42","86.21","85.42M","2.55%"
"03/14/2023","87.45","83.67","88.30","83.59","66.41M","6.63%"
"03/13/2023","82.01","81.39","83.83","78.51","65.27M","-0.80%"
"03/10/2023","82.67","84.47","85.45","81.63","70.27M","-1.62%"
"03/09/2023","84.03","85.29","87.81","83.59","79.29M","-1.57%"
"03/08/2023","85.37","82.79","85.77","82.28","69.53M","3.97%"
"03/07/2023","82.11","81.07","84.85","80.67","70.96M","1.17%"
"03/06/2023","81.16","82.03","83.30","81.04","54.54M","-0.44%"
"03/03/2023","81.52","80.40","81.63","79.34","52.61M","1.34%"
"03/02/2023","80.44","77.57","80.92","76.65","59.96M","2.75%"
"03/01/2023","78.29","78.55","80.29","77.88","44.10M","-0.37%"
"02/28/2023","78.58","77.87","80.14","77.42","44.22M","-0.24%"
"02/27/2023","78.77","79.64","80.12","78.53","45.62M","0.87%"
"02/24/2023","78.09","77.75","78.81","76.94","46.70M","-2.08%"
"02/23/2023","79.75","80.63","81.79","77.96","76.39M","4.10%"
"02/22/2023","76.61","76.93","78.13","75.92","50.29M","-0.21%"
"02/21/2023","76.77","77.15","78.46","76.45","44.05M","-2.20%"
"02/17/2023","78.50","79.60","79.65","77.37","47.83M","-1.97%"
"02/16/2023","80.08","82.98","83.35","80.05","57.41M","-5.99%"
"02/15/2023","85.18","85.10","85.89","83.32","46.35M","-0.90%"
"02/14/2023","85.95","82.70","86.18","81.77","55.98M","3.39%"
"02/13/2023","83.13","81.57","84.15","80.90","44.50M","2.03%"
"02/10/2023","81.48","82.29","82.71","80.47","49.33M","-2.08%"
"02/09/2023","83.21","85.88","86.67","82.76","45.60M","-1.75%"
"02/08/2023","84.69","85.88","88.00","84.54","53.34M","-1.42%"
"02/07/2023","85.91","84.32","86.25","82.52","65.15M","2.66%"
"02/06/2023","83.68","84.63","86.28","83.22","52.84M","-2.80%"
"02/03/2023","86.09","86.65","88.80","85.83","66.56M","-2.51%"
"02/02/2023","88.31","84.29","88.94","83.20","97.18M","4.34%"
"02/01/2023","84.64","78.47","85.48","77.88","151.61M","12.63%"
