"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2023","105.45","107.73","109.48","104.33","130.72M","-3.98%"
"04/27/2023","109.82","108.16","110.86","106.80","129.44M","4.61%"
"04/26/2023","104.98","105.04","106.62","104.10","71.82M","2.35%"
"04/25/2023","102.57","104.91","105.45","102.45","61.69M","-3.43%"
"04/24/2023","106.21","107.65","109.23","105.07","68.61M","-0.70%"
"04/21/2023","106.96","106.10","108.15","105.08","86.77M","3.03%"
"04/20/2023","103.81","103.53","105.25","103.21","57.70M","-0.47%"
"04/19/2023","104.30","101.58","105.12","101.39","58.15M","1.96%"
"04/18/2023","102.30","103.95","104.20","101.52","39.41M","-0.43%"
"04/17/2023","102.74","103.16","103.73","101.59","39.92M","0.22%"
"04/14/2023","102.51","102.07","103.20","101.11","51.45M","0.11%"
"04/13/2023","102.40","98.95","102.57","98.71","67.36M","4.67%"
"04/12/2023","97.83","100.40","100.51","97.71","56.35M","-2.09%"
"04/11/2023","99.92","100.80","101.00","99.01","60.12M","-2.20%"
"04/10/2023","102.17","100.96","102.20","99.57","37.00M","0.11%"
"04/06/2023","102.06","100.75","102.38","99.80","43.81M","0.95%"
"04/05/2023","101.10","103.91","103.91","100.75","44.76M","-2.74%"
"04/04/2023","103.95","102.75","104.20","102.11","48.36M","1.50%"
"04/03/2023","102.41","102.30","103.29","101.43","40.90M","-0.85%"
"03/31/2023","103.29","102.16","103.49","101.95","56.75M","1.26%"
"03/30/2023","102.00","101.55","103.04","101.01","52.07M","1.75%"
"03/29/2023","100.25","98.69","100.42","98.56","49.78M","3.10%"
"03/28/2023","97.24","98.11","98.44","96.29","38.56M","-0.82%"
"03/27/2023","98.04","99.07","99.34","97.08","46.50M","-0.09%"
"03/24/2023","98.13","98.07","98.30","96.40","56.15M","-0.59%"
"03/23/2023","98.71","100.43","101.06","97.62","57.32M","0.01%"
"03/22/2023","98.70","100.45","102.10","98.61","57.09M","-1.90%"
"03/21/2023","100.61","98.14","100.85","98.00","57.86M","2.97%"
"03/20/2023","97.71","98.41","98.48","95.70","60.96M","-1.25%"
"03/17/2023","98.95","99.79","100.66","97.46","87.30M","-1.09%"
"03/16/2023","100.04","95.75","100.99","95.61","84.25M","3.99%"
"03/15/2023","96.20","93.22","96.67","93.07","69.74M","1.39%"
"03/14/2023","94.88","93.83","95.07","92.71","60.43M","2.65%"
"03/13/2023","92.43","89.97","94.02","88.12","72.40M","1.87%"
"03/10/2023","90.73","92.67","93.57","90.25","69.83M","-1.65%"
"03/09/2023","92.25","93.68","96.21","92.18","55.59M","-1.78%"
"03/08/2023","93.92","93.60","94.17","92.18","44.90M","0.40%"
"03/07/2023","93.55","94.06","95.09","92.78","49.10M","-0.21%"
"03/06/2023","93.75","95.19","96.54","93.74","52.11M","-1.21%"
"03/03/2023","94.90","92.74","94.94","92.66","54.85M","3.01%"
"03/02/2023","92.13","91.41","92.23","90.39","54.13M","-0.04%"
"03/01/2023","92.17","93.87","94.68","91.59","51.91M","-2.19%"
"02/28/2023","94.23","93.14","94.69","92.92","43.96M","0.50%"
"02/27/2023","93.76","94.28","94.78","93.14","47.47M","0.28%"
"02/24/2023","93.50","93.53","94.14","92.32","57.05M","-2.42%"
"02/23/2023","95.82","96.12","96.43","93.67","48.47M","0.03%"
"02/22/2023","95.79","95.10","97.01","94.80","59.53M","1.28%"
"02/21/2023","94.58","95.33","95.61","94.27","56.58M","-2.70%"
"02/17/2023","97.20","97.80","97.94","95.65","60.03M","-0.97%"
"02/16/2023","98.15","99.21","100.63","98.10","54.40M","-2.98%"
"02/15/2023","101.16","99.09","101.17","98.45","47.44M","1.46%"
"02/14/2023","99.70","98.41","100.92","97.52","56.20M","0.16%"
"02/13/2023","99.54","97.85","99.68","96.91","52.66M","1.98%"
"02/10/2023","97.61","97.56","98.82","96.23","52.74M","-0.64%"
"02/09/2023","98.24","101.32","101.78","97.57","63.78M","-1.81%"
"02/08/2023","100.05","102.04","102.67","98.78","75.28M","-2.02%"
"02/07/2023","102.11","101.17","102.41","98.08","115.90M","-0.07%"
"02/06/2023","102.18","102.93","103.95","100.65","80.86M","-1.17%"
"02/03/2023","103.39","105.26","108.78","102.52","144.38M","-8.43%"
"02/02/2023","112.91","110.25","114.00","108.88","147.04M","7.38%"
"02/01/2023","105.15","102.53","106.24","101.24","76.15M","1.96%"
