"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2023","29.28","28.53","29.43","28.51","44.92M","1.35%"
"04/27/2023","28.89","28.52","29.08","28.52","32.66M","1.58%"
"04/26/2023","28.44","28.76","28.94","28.30","45.31M","-1.39%"
"04/25/2023","28.84","29.45","29.53","28.82","48.77M","-3.09%"
"04/24/2023","29.76","29.79","29.90","29.59","27.70M","-0.37%"
"04/21/2023","29.87","29.75","29.98","29.41","44.20M","-0.10%"
"04/20/2023","29.90","29.84","30.23","29.77","42.75M","-0.53%"
"04/19/2023","30.06","30.13","30.20","29.79","65.17M","-1.64%"
"04/18/2023","30.56","30.80","30.93","29.80","113.70M","0.63%"
"04/17/2023","30.37","29.77","30.41","29.40","81.89M","2.88%"
"04/14/2023","29.52","29.30","29.87","29.25","80.25M","3.36%"
"04/13/2023","28.56","28.56","28.64","28.24","52.06M","0.28%"
"04/12/2023","28.48","28.68","29.01","28.37","44.31M","-0.80%"
"04/11/2023","28.71","28.02","28.75","27.96","58.30M","2.76%"
"04/10/2023","27.94","27.67","28.10","27.65","40.15M","0.36%"
"04/06/2023","27.84","27.72","28.01","27.62","41.22M","0.72%"
"04/05/2023","27.64","27.66","27.91","27.46","47.52M","-1.22%"
"04/04/2023","27.98","28.55","28.65","27.66","55.87M","-2.13%"
"04/03/2023","28.59","28.64","28.98","28.33","51.81M","-0.03%"
"03/31/2023","28.60","28.62","28.68","28.26","52.86M","1.06%"
"03/30/2023","28.30","28.92","29.06","28.11","61.80M","-1.29%"
"03/29/2023","28.67","28.49","28.76","28.24","62.67M","1.96%"
"03/28/2023","28.12","28.38","28.65","27.98","62.13M","-1.30%"
"03/27/2023","28.49","27.93","28.65","27.91","101.35M","4.97%"
"03/24/2023","27.14","26.60","27.29","26.32","96.98M","0.63%"
"03/23/2023","26.97","28.00","28.09","26.79","104.52M","-2.42%"
"03/22/2023","27.64","28.71","28.74","27.64","75.61M","-3.32%"
"03/21/2023","28.59","28.63","28.98","28.51","78.87M","3.03%"
"03/20/2023","27.75","28.24","28.43","27.65","80.98M","-0.25%"
"03/17/2023","27.82","28.66","28.66","27.62","130.67M","-3.97%"
"03/16/2023","28.97","28.38","29.47","28.11","107.74M","1.68%"
"03/15/2023","28.49","27.88","28.56","27.68","129.69M","-0.94%"
"03/14/2023","28.76","29.99","30.09","28.47","153.37M","0.88%"
"03/13/2023","28.51","28.92","29.72","27.87","218.40M","-5.81%"
"03/10/2023","30.27","30.32","31.04","28.92","165.33M","-0.88%"
"03/09/2023","30.54","32.28","32.39","30.31","110.93M","-6.20%"
"03/08/2023","32.56","32.66","32.97","32.44","40.05M","-1.33%"
"03/07/2023","33.00","33.85","33.90","32.80","52.86M","-3.20%"
"03/06/2023","34.09","34.24","34.56","33.99","36.65M","-0.20%"
"03/03/2023","34.16","33.65","34.29","33.65","38.60M","2.00%"
"03/02/2023","33.49","33.66","33.70","33.00","44.25M","-1.90%"
"03/01/2023","34.14","34.15","34.49","33.98","29.17M","-0.47%"
"02/28/2023","34.30","34.35","34.49","34.18","32.62M","0.26%"
"02/27/2023","34.21","34.45","34.69","34.17","30.14M","0.00%"
"02/24/2023","34.21","33.86","34.29","33.84","27.05M","-0.15%"
"02/23/2023","34.26","34.40","34.60","33.86","28.49M","-0.09%"
"02/22/2023","34.29","34.36","34.55","34.07","38.55M","-0.67%"
"02/21/2023","34.52","34.91","35.05","34.27","37.07M","-2.35%"
"02/17/2023","35.35","35.08","35.39","34.74","28.56M","0.20%"
"02/16/2023","35.28","35.42","35.66","35.22","22.46M","-0.79%"
"02/15/2023","35.56","35.32","35.61","35.16","23.36M","-0.17%"
"02/14/2023","35.62","35.63","35.99","35.46","33.63M","-0.08%"
"02/13/2023","35.65","35.48","35.78","35.39","29.12M","0.20%"
"02/10/2023","35.58","35.55","35.59","35.03","32.74M","-0.39%"
"02/09/2023","35.72","36.27","36.35","35.56","34.77M","-2.14%"
"02/08/2023","36.50","36.41","36.84","36.34","27.43M","-0.73%"
"02/07/2023","36.77","36.17","37.00","36.13","43.72M","1.10%"
"02/06/2023","36.37","36.25","36.44","35.98","29.05M","-0.16%"
"02/03/2023","36.43","36.02","36.76","35.90","37.41M","0.83%"
"02/02/2023","36.13","36.10","36.38","35.44","33.39M","0.58%"
"02/01/2023","35.92","35.20","36.26","35.11","44.11M","1.24%"
