"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2023","198.37","196.15","198.65","195.27","4.09M","1.24%"
"04/27/2023","195.94","194.17","197.51","193.27","4.69M","2.31%"
"04/26/2023","191.52","192.62","194.37","190.57","3.98M","0.45%"
"04/25/2023","190.67","193.97","194.12","190.63","5.00M","-2.18%"
"04/24/2023","194.92","198.45","198.77","194.06","4.42M","-2.07%"
"04/21/2023","199.03","197.03","199.12","196.46","4.75M","0.77%"
"04/20/2023","197.51","197.18","200.08","196.82","3.59M","-0.71%"
"04/19/2023","198.92","196.30","199.07","195.73","3.63M","0.21%"
"04/18/2023","198.50","199.08","200.12","197.06","4.63M","0.72%"
"04/17/2023","197.08","195.16","197.52","195.03","5.27M","1.25%"
"04/14/2023","194.65","191.85","195.17","191.19","5.05M","0.32%"
"04/13/2023","194.02","190.45","194.38","190.45","4.64M","1.94%"
"04/12/2023","190.32","190.30","191.88","189.53","5.03M","0.76%"
"04/11/2023","188.89","189.06","190.46","187.31","4.81M","-1.36%"
"04/10/2023","191.49","190.59","192.55","189.28","5.19M","-0.55%"
"04/06/2023","192.55","194.00","194.07","189.60","6.30M","-1.41%"
"04/05/2023","195.31","198.00","198.29","193.73","3.93M","-0.96%"
"04/04/2023","197.20","198.15","198.70","196.62","4.66M","0.36%"
"04/03/2023","196.49","198.22","198.93","195.53","5.32M","-1.65%"
"03/31/2023","199.78","197.49","200.00","196.99","6.60M","1.62%"
"03/30/2023","196.60","197.77","198.17","195.49","6.87M","-0.02%"
"03/29/2023","196.64","193.14","197.43","192.88","8.09M","2.26%"
"03/28/2023","192.30","191.18","192.83","191.18","4.89M","0.54%"
"03/27/2023","191.26","188.92","192.11","188.90","7.49M","0.63%"
"03/24/2023","190.06","186.50","190.32","186.09","6.10M","1.40%"
"03/23/2023","187.44","187.40","190.56","185.58","8.68M","0.50%"
"03/22/2023","186.51","190.00","191.44","186.41","6.56M","-1.15%"
"03/21/2023","188.68","185.87","189.28","184.89","6.91M","1.85%"
"03/20/2023","185.25","184.21","185.52","182.65","5.51M","0.22%"
"03/17/2023","184.85","186.04","187.66","184.18","10.49M","-1.31%"
"03/16/2023","187.30","183.30","187.65","182.98","8.35M","2.40%"
"03/15/2023","182.91","179.16","183.86","178.21","7.68M","0.01%"
"03/14/2023","182.89","180.00","185.31","179.11","10.07M","4.20%"
"03/13/2023","175.51","171.00","177.10","170.00","9.15M","1.35%"
"03/10/2023","173.18","178.50","179.36","171.71","14.11M","-3.10%"
"03/09/2023","178.72","183.10","183.84","178.54","7.06M","-2.31%"
"03/08/2023","182.95","183.30","184.90","181.80","6.75M","-0.20%"
"03/07/2023","183.32","184.46","186.16","183.03","9.02M","-0.26%"
"03/06/2023","183.80","185.07","189.00","183.63","10.77M","-1.41%"
"03/03/2023","186.43","188.07","189.77","184.29","12.08M","-0.09%"
"03/02/2023","186.59","193.12","193.91","185.20","37.52M","11.50%"
"03/01/2023","167.35","162.99","167.98","162.98","13.45M","2.29%"
"02/28/2023","163.61","162.53","164.45","161.53","6.91M","0.29%"
"02/27/2023","163.14","163.84","164.77","162.22","6.89M","0.58%"
"02/24/2023","162.20","160.59","162.39","159.65","6.57M","-1.17%"
"02/23/2023","164.12","165.29","165.47","161.57","4.68M","0.47%"
"02/22/2023","163.36","163.11","165.00","162.11","4.34M","1.08%"
"02/21/2023","161.62","163.74","164.51","161.45","5.21M","-2.15%"
"02/17/2023","165.17","165.03","167.11","162.74","8.08M","-1.75%"
"02/16/2023","168.11","168.99","170.37","167.96","7.45M","-1.75%"
"02/15/2023","171.10","168.85","171.60","168.24","4.96M","0.67%"
"02/14/2023","169.96","168.22","172.79","167.85","8.39M","-0.65%"
"02/13/2023","171.08","168.28","171.16","166.95","8.79M","2.42%"
"02/10/2023","167.03","167.65","169.74","165.33","11.24M","-3.82%"
"02/09/2023","173.66","173.33","175.38","172.01","11.24M","2.38%"
"02/08/2023","169.63","170.00","172.45","169.23","7.60M","-0.96%"
"02/07/2023","171.28","167.57","171.73","166.61","6.17M","1.32%"
"02/06/2023","169.05","168.00","171.17","167.35","4.24M","-1.16%"
"02/03/2023","171.04","170.02","175.08","169.86","6.48M","-2.06%"
"02/02/2023","174.64","175.71","178.84","172.90","10.60M","1.64%"
"02/01/2023","171.82","167.73","173.08","167.00","8.69M","2.29%"
