"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2023","108.22","107.80","108.29","106.04","23.89M","-0.14%"
"04/27/2023","108.37","105.23","109.15","104.42","37.95M","3.75%"
"04/26/2023","104.45","105.56","107.02","103.27","36.63M","-0.15%"
"04/25/2023","104.61","106.61","107.44","104.56","29.42M","-2.03%"
"04/24/2023","106.78","106.05","107.32","105.36","21.41M","0.82%"
"04/21/2023","105.91","106.09","106.64","105.49","22.32M","0.01%"
"04/20/2023","105.90","104.65","106.89","104.64","22.52M","0.84%"
"04/19/2023","105.02","104.21","105.72","103.80","16.68M","-0.10%"
"04/18/2023","105.12","107.00","107.05","104.78","17.59M","-1.22%"
"04/17/2023","106.42","105.43","106.71","105.32","28.98M","-2.78%"
"04/14/2023","109.46","107.69","109.58","107.59","20.76M","1.17%"
"04/13/2023","108.19","106.47","108.26","106.44","21.58M","2.82%"
"04/12/2023","105.22","107.39","107.59","104.97","22.76M","-0.85%"
"04/11/2023","106.12","106.92","107.22","105.28","18.69M","-0.78%"
"04/10/2023","106.95","107.39","107.97","105.60","19.68M","-1.79%"
"04/06/2023","108.90","105.77","109.63","104.82","34.68M","3.76%"
"04/05/2023","104.95","106.12","106.54","104.10","21.80M","-0.16%"
"04/04/2023","105.12","104.84","106.10","104.60","20.30M","0.20%"
"04/03/2023","104.91","102.67","104.95","102.38","20.64M","0.88%"
"03/31/2023","104.00","101.71","104.19","101.44","27.50M","2.65%"
"03/30/2023","101.32","101.44","101.61","100.29","24.18M","-0.57%"
"03/29/2023","101.90","102.72","102.82","101.03","26.15M","0.53%"
"03/28/2023","101.36","103.00","103.00","100.28","24.72M","-1.65%"
"03/27/2023","103.06","105.32","105.40","102.63","25.32M","-2.83%"
"03/24/2023","106.06","105.74","106.16","104.74","25.25M","-0.19%"
"03/23/2023","106.26","105.89","107.10","105.41","31.34M","1.96%"
"03/22/2023","104.22","105.14","107.51","104.21","32.24M","-1.53%"
"03/21/2023","105.84","101.98","105.96","101.86","32.83M","3.84%"
"03/20/2023","101.93","101.06","102.58","100.79","25.85M","-0.52%"
"03/17/2023","102.46","100.84","103.49","100.75","76.14M","1.38%"
"03/16/2023","101.07","96.57","101.97","95.87","54.59M","4.68%"
"03/15/2023","96.55","93.54","97.25","93.04","38.37M","2.44%"
"03/14/2023","94.25","93.07","94.83","92.78","32.07M","2.83%"
"03/13/2023","91.66","90.57","93.08","89.94","31.51M","0.71%"
"03/10/2023","91.01","92.50","93.18","90.80","32.85M","-1.78%"
"03/09/2023","92.66","94.49","95.92","92.36","24.14M","-2.10%"
"03/08/2023","94.65","94.40","96.24","94.40","25.40M","0.51%"
"03/07/2023","94.17","95.42","96.09","93.84","24.10M","-1.48%"
"03/06/2023","95.58","94.36","96.30","94.30","28.29M","1.66%"
"03/03/2023","94.02","92.74","94.11","92.66","30.15M","1.85%"
"03/02/2023","92.31","89.86","92.48","89.77","22.53M","1.99%"
"03/01/2023","90.51","90.16","91.20","89.85","25.48M","0.23%"
"02/28/2023","90.30","89.54","91.45","89.52","30.55M","0.22%"
"02/27/2023","90.10","90.09","90.45","89.61","22.72M","0.84%"
"02/24/2023","89.35","89.63","90.13","88.86","31.30M","-1.89%"
"02/23/2023","91.07","92.13","92.13","90.01","32.42M","-0.80%"
"02/22/2023","91.80","91.93","92.36","90.87","29.89M","-0.27%"
"02/21/2023","92.05","93.24","93.41","92.00","28.37M","-2.69%"
"02/17/2023","94.59","95.07","95.75","93.45","31.10M","-1.24%"
"02/16/2023","95.78","95.54","97.88","94.97","35.47M","-1.36%"
"02/15/2023","97.10","94.74","97.34","94.36","36.89M","2.26%"
"02/14/2023","94.95","94.66","95.18","92.65","42.51M","-0.05%"
"02/13/2023","95.00","95.01","95.35","94.05","42.97M","0.15%"
"02/10/2023","94.86","95.74","97.02","94.53","49.33M","-0.63%"
"02/09/2023","95.46","100.54","100.61","93.86","97.48M","-4.54%"
"02/08/2023","100.00","102.69","103.58","98.46","73.24M","-7.44%"
"02/07/2023","108.04","103.63","108.67","103.55","33.64M","4.42%"
"02/06/2023","103.47","102.68","104.70","102.21","25.49M","-1.66%"
"02/03/2023","105.22","103.51","108.02","103.30","36.73M","-3.29%"
"02/02/2023","108.80","106.79","108.82","106.54","44.89M","7.27%"
"02/01/2023","101.43","99.74","102.19","98.42","25.91M","1.56%"
