"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2023","343.44","340.05","344.10","339.70","1.70M","0.54%"
"04/27/2023","341.60","340.14","343.36","338.76","1.75M","1.50%"
"04/26/2023","336.56","337.58","340.60","334.64","2.01M","-0.86%"
"04/25/2023","339.48","341.00","343.47","338.33","2.12M","-1.30%"
"04/24/2023","343.96","341.99","345.06","341.53","1.93M","0.67%"
"04/21/2023","341.66","339.00","342.36","336.00","2.27M","0.87%"
"04/20/2023","338.71","334.95","339.31","334.32","2.21M","0.54%"
"04/19/2023","336.89","332.98","336.99","331.67","2.60M","0.89%"
"04/18/2023","333.91","328.00","336.55","326.13","7.53M","-1.70%"
"04/17/2023","339.68","336.00","340.45","333.68","2.95M","0.82%"
"04/14/2023","336.92","336.53","339.63","334.32","2.24M","1.44%"
"04/13/2023","332.13","330.08","332.94","327.00","1.72M","0.57%"
"04/12/2023","330.24","331.72","332.07","327.18","1.86M","0.88%"
"04/11/2023","327.37","326.05","329.20","323.67","1.55M","0.74%"
"04/10/2023","324.96","322.40","324.99","321.31","1.11M","0.79%"
"04/06/2023","322.40","320.38","323.23","319.98","1.31M","0.27%"
"04/05/2023","321.53","319.62","322.20","319.37","1.30M","-0.35%"
"04/04/2023","322.65","326.82","326.87","320.12","1.52M","-1.19%"
"04/03/2023","326.52","326.14","328.98","323.15","1.73M","-0.18%"
"03/31/2023","327.11","323.47","327.33","322.42","2.25M","1.86%"
"03/30/2023","321.14","324.56","324.87","319.88","1.44M","0.13%"
"03/29/2023","320.72","322.50","322.71","318.68","1.48M","0.72%"
"03/28/2023","318.44","319.09","320.61","316.12","1.22M","-0.03%"
"03/27/2023","318.53","318.62","320.90","317.17","2.29M","1.91%"
"03/24/2023","312.57","310.15","312.75","305.36","2.46M","-0.72%"
"03/23/2023","314.85","315.21","321.36","312.64","2.57M","0.38%"
"03/22/2023","313.67","317.28","322.22","313.49","2.49M","-1.14%"
"03/21/2023","317.28","317.62","320.32","315.35","3.07M","2.50%"
"03/20/2023","309.53","306.78","312.20","306.26","3.92M","1.97%"
"03/17/2023","303.54","310.09","310.40","301.87","6.37M","-3.67%"
"03/16/2023","315.09","309.00","318.32","304.92","4.39M","0.93%"
"03/15/2023","312.19","310.77","312.51","304.41","6.50M","-3.09%"
"03/14/2023","322.15","324.77","326.38","318.95","3.76M","2.10%"
"03/13/2023","315.51","319.67","326.11","314.54","5.66M","-3.71%"
"03/10/2023","327.67","338.87","339.93","326.03","4.56M","-4.22%"
"03/09/2023","342.09","349.20","354.29","341.05","3.15M","-2.06%"
"03/08/2023","349.29","346.19","349.69","345.17","1.58M","0.93%"
"03/07/2023","346.08","355.55","356.20","345.63","2.05M","-3.07%"
"03/06/2023","357.05","358.06","358.86","353.73","1.61M","-0.01%"
"03/03/2023","357.09","350.64","357.77","349.56","2.35M","2.29%"
"03/02/2023","349.10","343.99","349.78","340.49","3.24M","0.83%"
"03/01/2023","346.23","349.39","352.54","345.96","2.66M","-1.54%"
"02/28/2023","351.65","366.00","366.01","351.33","4.95M","-3.80%"
"02/27/2023","365.53","368.22","370.30","364.51","2.84M","0.46%"
"02/24/2023","363.85","360.17","365.18","359.53","2.43M","0.09%"
"02/23/2023","363.54","363.20","367.88","359.61","1.93M","0.73%"
"02/22/2023","360.89","361.63","363.00","358.04","2.20M","-0.06%"
"02/21/2023","361.12","366.72","366.72","360.09","2.40M","-2.00%"
"02/17/2023","368.50","368.05","371.06","366.86","1.86M","-0.46%"
"02/16/2023","370.20","370.75","374.25","368.80","1.94M","-1.11%"
"02/15/2023","374.34","368.74","374.36","368.25","1.66M","0.69%"
"02/14/2023","371.78","373.94","377.05","369.38","2.16M","-0.60%"
"02/13/2023","374.02","369.09","375.06","368.00","1.55M","0.74%"
"02/10/2023","371.28","367.00","372.23","364.55","1.91M","0.89%"
"02/09/2023","367.99","377.04","379.68","367.80","1.99M","-1.90%"
"02/08/2023","375.10","372.92","378.35","371.98","1.87M","0.19%"
"02/07/2023","374.40","368.17","376.31","367.34","2.19M","0.97%"
"02/06/2023","370.80","369.00","371.26","365.78","1.75M","0.23%"
"02/03/2023","369.95","365.62","374.57","365.44","2.24M","0.13%"
"02/02/2023","369.47","368.00","372.89","364.55","2.61M","1.03%"
"02/01/2023","365.71","359.10","368.94","358.76","2.88M","-0.03%"
