"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2023","69.77","69.36","69.90","69.12","2.40M","0.69%"
"04/27/2023","69.29","68.36","69.31","68.23","1.25M","1.21%"
"04/26/2023","68.46","68.06","68.64","67.96","1.61M","-0.13%"
"04/25/2023","68.55","67.80","68.65","67.73","1.78M","1.38%"
"04/24/2023","67.62","67.46","67.73","67.21","1.68M","0.40%"
"04/21/2023","67.35","67.77","67.99","67.01","1.20M","0.16%"
"04/20/2023","67.24","67.47","67.55","66.88","1.49M","-0.16%"
"04/19/2023","67.35","68.02","68.15","67.23","1.25M","-0.61%"
"04/18/2023","67.76","67.44","67.81","67.33","1.35M","0.21%"
"04/17/2023","67.62","67.18","67.70","67.12","1.13M","0.93%"
"04/14/2023","67.00","67.62","67.73","66.71","1.55M","-1.25%"
"04/13/2023","67.85","68.07","68.26","67.63","2.02M","-0.76%"
"04/12/2023","68.37","68.10","68.78","67.97","1.52M","-0.01%"
"04/11/2023","68.38","67.78","68.57","67.61","1.89M","0.89%"
"04/10/2023","67.78","67.77","67.88","67.21","1.35M","-0.31%"
"04/06/2023","67.99","68.31","68.63","67.68","1.56M","-0.06%"
"04/05/2023","68.03","67.60","68.22","67.29","1.86M","1.10%"
"04/04/2023","67.29","67.20","67.48","66.89","1.50M","0.27%"
"04/03/2023","67.11","67.13","67.61","66.74","2.45M","0.22%"
"03/31/2023","66.96","67.00","67.15","66.62","1.93M","0.45%"
"03/30/2023","66.66","66.45","66.70","66.28","1.45M","0.26%"
"03/29/2023","66.49","66.43","66.74","66.14","1.62M","0.30%"
"03/28/2023","66.29","65.94","66.68","65.64","1.50M","0.70%"
"03/27/2023","65.83","66.04","66.40","65.70","1.51M","0.55%"
"03/24/2023","65.47","64.88","65.48","64.62","2.07M","1.35%"
"03/23/2023","64.60","64.41","65.09","64.40","1.91M","0.17%"
"03/22/2023","64.49","65.23","65.49","64.47","1.61M","-1.01%"
"03/21/2023","65.15","65.11","65.36","64.54","1.55M","0.20%"
"03/20/2023","65.02","64.84","65.70","64.84","2.55M","0.43%"
"03/17/2023","64.74","65.00","65.03","63.89","9.46M","-0.35%"
"03/16/2023","64.97","65.42","65.60","64.32","1.95M","-0.44%"
"03/15/2023","65.26","64.57","65.38","64.13","2.24M","0.94%"
"03/14/2023","64.65","64.58","64.71","63.96","2.25M","0.61%"
"03/13/2023","64.26","64.11","65.92","64.11","2.73M","0.58%"
"03/10/2023","63.89","64.18","64.62","63.74","1.82M","-0.36%"
"03/09/2023","64.12","65.01","65.24","63.93","1.68M","-0.93%"
"03/08/2023","64.72","64.86","64.86","64.18","1.62M","0.28%"
"03/07/2023","64.54","65.25","65.40","64.20","1.61M","-0.86%"
"03/06/2023","65.10","65.23","65.42","64.92","1.80M","-0.37%"
"03/03/2023","65.34","65.45","65.60","64.85","1.95M","-0.43%"
"03/02/2023","65.62","65.37","65.81","65.10","2.19M","0.55%"
"03/01/2023","65.26","65.69","65.79","64.55","1.84M","-1.03%"
"02/28/2023","65.94","66.83","66.99","65.85","3.45M","-2.33%"
"02/27/2023","67.51","67.79","68.13","67.17","1.99M","-0.25%"
"02/24/2023","67.68","68.22","68.22","67.47","1.54M","-0.78%"
"02/23/2023","68.21","68.47","68.60","67.93","1.53M","0.01%"
"02/22/2023","68.20","69.15","69.47","67.94","2.04M","-1.03%"
"02/21/2023","68.91","68.41","69.20","68.06","2.94M","0.78%"
"02/17/2023","68.38","66.96","68.46","66.80","2.27M","2.30%"
"02/16/2023","66.84","66.97","67.14","66.52","2.27M","-0.51%"
"02/15/2023","67.18","67.23","67.39","66.65","2.80M","-0.03%"
"02/14/2023","67.20","68.42","68.43","67.16","2.02M","-1.73%"
"02/13/2023","68.38","67.71","68.42","67.13","2.07M","1.02%"
"02/10/2023","67.69","67.47","68.03","67.18","2.35M","0.83%"
"02/09/2023","67.13","67.98","69.18","66.69","3.08M","-0.10%"
"02/08/2023","67.20","67.69","67.79","66.99","2.96M","-1.18%"
"02/07/2023","68.00","68.41","68.60","67.45","2.06M","-1.46%"
"02/06/2023","69.01","67.72","69.05","67.24","2.82M","2.07%"
"02/03/2023","67.61","67.83","67.98","66.45","2.49M","-0.03%"
"02/02/2023","67.63","67.52","67.86","67.08","2.54M","-0.92%"
"02/01/2023","68.26","68.39","68.67","67.96","2.04M","-0.47%"
