"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2023","64.15","63.61","64.16","63.48","13.68M","0.74%"
"04/27/2023","63.68","63.53","63.76","63.11","13.75M","0.20%"
"04/26/2023","63.55","63.56","63.77","63.39","13.08M","-0.47%"
"04/25/2023","63.85","64.17","64.17","63.63","12.81M","-0.16%"
"04/24/2023","63.95","64.75","64.99","63.62","15.49M","-0.16%"
"04/21/2023","64.05","64.00","64.27","63.80","12.90M","0.14%"
"04/20/2023","63.96","63.63","64.00","63.44","10.68M","0.44%"
"04/19/2023","63.68","63.73","63.83","63.42","9.71M","0.19%"
"04/18/2023","63.56","63.51","63.60","63.19","9.03M","0.16%"
"04/17/2023","63.46","63.32","63.53","63.14","9.44M","0.65%"
"04/14/2023","63.05","63.05","63.15","62.78","8.94M","-0.16%"
"04/13/2023","63.15","62.76","63.16","62.48","9.84M","0.73%"
"04/12/2023","62.69","62.48","63.03","62.31","9.59M","0.18%"
"04/11/2023","62.58","62.65","62.71","62.40","9.88M","-0.18%"
"04/10/2023","62.69","62.49","62.69","62.02","7.92M","-0.24%"
"04/06/2023","62.84","62.86","63.04","62.38","9.64M","0.06%"
"04/05/2023","62.80","62.53","63.02","62.50","12.66M","0.95%"
"04/04/2023","62.21","62.39","62.74","62.08","11.14M","-0.30%"
"04/03/2023","62.40","62.30","62.52","61.86","12.30M","0.60%"
"03/31/2023","62.03","62.06","62.25","61.87","14.44M","0.29%"
"03/30/2023","61.85","61.88","62.09","61.66","8.35M","-0.02%"
"03/29/2023","61.86","61.72","61.95","61.59","9.44M","0.72%"
"03/28/2023","61.42","61.39","61.74","61.27","9.67M","0.11%"
"03/27/2023","61.35","61.14","61.48","60.95","12.77M","0.74%"
"03/24/2023","60.90","60.25","61.01","59.91","12.98M","1.64%"
"03/23/2023","59.92","60.09","60.39","59.72","14.34M","-0.22%"
"03/22/2023","60.05","60.40","60.87","60.03","10.47M","-0.45%"
"03/21/2023","60.32","60.57","60.75","59.88","13.71M","-0.46%"
"03/20/2023","60.60","60.16","60.60","59.97","12.84M","0.97%"
"03/17/2023","60.02","60.31","60.35","59.63","27.35M","-0.46%"
"03/16/2023","60.30","60.09","60.33","59.70","15.54M","-0.22%"
"03/15/2023","60.43","59.43","60.47","59.24","20.81M","0.67%"
"03/14/2023","60.03","60.00","60.46","59.35","18.47M","0.37%"
"03/13/2023","59.81","59.29","60.87","59.25","21.96M","1.01%"
"03/10/2023","59.21","59.70","60.14","58.99","13.75M","-0.42%"
"03/09/2023","59.46","60.54","60.54","59.28","12.55M","-0.97%"
"03/08/2023","60.04","60.04","60.33","59.72","10.85M","0.05%"
"03/07/2023","60.01","60.49","60.57","59.75","13.96M","-0.58%"
"03/06/2023","60.36","59.26","60.38","59.22","16.28M","1.55%"
"03/03/2023","59.44","59.55","59.68","59.21","12.96M","-0.47%"
"03/02/2023","59.72","58.84","59.78","58.80","11.37M","1.46%"
"03/01/2023","58.86","59.13","59.18","58.37","13.22M","-1.09%"
"02/28/2023","59.51","59.70","59.70","59.14","16.08M","-0.52%"
"02/27/2023","59.82","60.18","60.30","59.74","8.85M","-0.03%"
"02/24/2023","59.84","59.68","59.91","59.38","9.74M","-0.42%"
"02/23/2023","60.09","60.01","60.42","59.81","12.22M","0.18%"
"02/22/2023","59.98","59.85","60.36","59.75","12.41M","0.30%"
"02/21/2023","59.80","59.99","60.23","59.72","14.28M","-0.53%"
"02/17/2023","60.12","59.50","60.23","59.38","16.81M","1.52%"
"02/16/2023","59.22","59.23","59.82","58.95","16.50M","-0.62%"
"02/15/2023","59.59","59.90","59.93","59.22","12.95M","0.00%"
"02/14/2023","59.59","60.21","60.90","59.56","20.51M","-1.67%"
"02/13/2023","60.60","59.90","60.76","59.73","16.13M","1.64%"
"02/10/2023","59.62","59.72","59.90","58.88","14.36M","0.00%"
"02/09/2023","59.62","60.15","60.32","59.60","12.43M","-0.17%"
"02/08/2023","59.72","59.92","59.92","59.59","10.65M","-0.58%"
"02/07/2023","60.07","59.67","60.24","59.53","14.77M","-0.17%"
"02/06/2023","60.17","59.79","60.34","59.72","11.16M","0.57%"
"02/03/2023","59.83","60.35","60.42","59.23","15.40M","-0.75%"
"02/02/2023","60.28","60.80","61.02","59.91","16.83M","-1.71%"
"02/01/2023","61.33","61.14","61.58","60.62","12.48M","0.02%"
