"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2023","240.32","239.01","240.43","235.75","39.18M","0.74%"
"04/27/2023","238.56","239.89","241.68","236.77","70.79M","13.93%"
"04/26/2023","209.40","212.50","214.11","208.88","35.22M","0.89%"
"04/25/2023","207.55","210.82","211.26","207.13","18.61M","-2.46%"
"04/24/2023","212.79","213.68","213.92","210.71","15.75M","-0.05%"
"04/21/2023","212.89","210.21","213.41","209.58","17.67M","-0.08%"
"04/20/2023","213.07","213.48","216.75","212.77","16.43M","-1.22%"
"04/19/2023","215.70","213.47","217.33","212.93","15.90M","-1.01%"
"04/18/2023","217.89","219.91","220.44","216.21","12.21M","-0.44%"
"04/17/2023","218.86","219.79","220.98","217.13","15.41M","-1.19%"
"04/14/2023","221.49","217.88","222.11","217.55","21.59M","0.52%"
"04/13/2023","220.35","215.73","221.15","215.69","23.23M","2.97%"
"04/12/2023","214.00","214.84","216.84","212.58","18.97M","0.07%"
"04/11/2023","213.85","215.48","216.02","213.41","16.35M","-0.42%"
"04/10/2023","214.75","214.71","215.66","210.66","15.84M","-0.62%"
"04/06/2023","216.10","209.25","216.94","208.65","26.10M","2.18%"
"04/05/2023","211.48","214.15","215.19","209.94","19.33M","-1.51%"
"04/04/2023","214.72","213.39","216.24","212.54","20.98M","0.77%"
"04/03/2023","213.07","208.84","213.49","208.20","17.89M","0.53%"
"03/31/2023","211.94","207.24","212.17","206.77","25.39M","1.97%"
"03/30/2023","207.84","203.38","208.09","202.82","22.55M","1.21%"
"03/29/2023","205.35","203.56","205.72","202.54","18.85M","2.33%"
"03/28/2023","200.68","200.15","201.03","197.90","19.09M","-1.06%"
"03/27/2023","202.84","204.81","205.86","201.36","18.45M","-1.54%"
"03/24/2023","206.01","205.18","207.58","203.55","27.73M","0.85%"
"03/23/2023","204.28","202.84","207.88","202.15","27.17M","2.24%"
"03/22/2023","199.81","202.50","207.37","199.67","28.04M","-1.16%"
"03/21/2023","202.16","203.20","203.55","197.95","31.48M","2.20%"
"03/20/2023","197.81","198.48","199.36","193.64","25.14M","1.12%"
"03/17/2023","195.61","200.56","201.90","195.43","50.14M","-4.55%"
"03/16/2023","204.93","198.26","205.76","196.09","50.82M","3.63%"
"03/15/2023","197.75","192.95","197.78","190.84","42.12M","1.92%"
"03/14/2023","194.02","187.58","194.32","186.56","41.02M","7.25%"
"03/13/2023","180.90","177.96","183.78","174.82","24.68M","0.77%"
"03/10/2023","179.51","181.01","184.77","178.80","25.67M","-1.20%"
"03/09/2023","181.69","186.35","188.93","180.30","26.51M","-1.77%"
"03/08/2023","184.97","182.87","185.26","181.34","19.43M","0.25%"
"03/07/2023","184.51","189.00","190.36","184.01","36.70M","-0.21%"
"03/06/2023","184.90","188.00","189.66","184.64","33.21M","-0.19%"
"03/03/2023","185.25","178.92","186.62","177.05","43.85M","6.14%"
"03/02/2023","174.53","172.38","175.01","171.43","17.33M","0.64%"
"03/01/2023","173.42","174.59","177.85","173.05","29.18M","-0.87%"
"02/28/2023","174.94","171.90","177.55","171.87","46.05M","3.19%"
"02/27/2023","169.54","171.88","173.12","169.06","19.28M","-0.50%"
"02/24/2023","170.39","168.64","170.72","167.66","19.79M","-0.96%"
"02/23/2023","172.04","172.00","173.69","169.38","20.02M","0.54%"
"02/22/2023","171.12","171.07","172.76","169.69","20.57M","-0.56%"
"02/21/2023","172.08","174.31","178.17","171.88","32.72M","-0.46%"
"02/17/2023","172.88","170.22","173.18","169.70","24.17M","0.26%"
"02/16/2023","172.44","172.75","175.85","171.79","25.71M","-2.66%"
"02/15/2023","177.16","176.41","178.19","175.33","24.92M","-1.29%"
"02/14/2023","179.48","177.16","181.51","175.88","23.97M","0.03%"
"02/13/2023","179.43","178.21","181.00","175.82","31.41M","3.03%"
"02/10/2023","174.15","176.35","178.89","173.35","33.43M","-2.12%"
"02/09/2023","177.92","186.13","186.65","177.27","36.92M","-3.00%"
"02/08/2023","183.43","190.00","190.83","182.92","35.96M","-4.27%"
"02/07/2023","191.62","185.57","193.78","184.40","45.70M","2.99%"
"02/06/2023","186.06","186.53","190.70","185.52","42.48M","-0.25%"
"02/03/2023","186.53","183.46","196.77","182.89","76.81M","-1.19%"
"02/02/2023","188.77","183.38","197.16","180.16","150.48M","23.28%"
"02/01/2023","153.12","148.03","153.58","147.06","47.55M","2.79%"
