"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2023","126.72","125.15","127.07","124.96","4.41M","0.81%"
"04/27/2023","125.70","124.44","126.01","123.14","4.02M","1.50%"
"04/26/2023","123.84","124.21","124.98","123.29","3.78M","-0.66%"
"04/25/2023","124.66","126.53","126.77","124.05","4.38M","-1.91%"
"04/24/2023","127.09","125.51","127.13","125.14","3.79M","1.24%"
"04/21/2023","125.53","124.40","125.68","123.62","3.65M","0.87%"
"04/20/2023","124.45","124.80","125.35","123.71","3.88M","-0.97%"
"04/19/2023","125.67","126.00","126.07","124.92","3.54M","-0.43%"
"04/18/2023","126.21","127.23","127.28","125.01","3.86M","0.02%"
"04/17/2023","126.19","126.03","126.48","125.13","3.91M","0.19%"
"04/14/2023","125.95","127.00","127.49","125.49","4.81M","-0.38%"
"04/13/2023","126.43","124.64","126.67","124.46","5.35M","2.24%"
"04/12/2023","123.66","124.76","124.86","123.22","4.53M","0.29%"
"04/11/2023","123.30","122.04","124.08","122.04","4.47M","1.14%"
"04/10/2023","121.91","119.30","121.91","119.13","3.72M","1.41%"
"04/06/2023","120.22","119.51","120.49","117.85","4.26M","-0.56%"
"04/05/2023","120.90","123.00","123.33","120.56","4.33M","-2.26%"
"04/04/2023","123.69","121.38","123.94","121.36","5.89M","1.66%"
"04/03/2023","121.67","122.50","122.85","120.82","4.82M","-0.79%"
"03/31/2023","122.64","120.92","122.71","120.60","5.65M","2.11%"
"03/30/2023","120.10","121.03","121.44","119.33","4.57M","-0.32%"
"03/29/2023","120.49","118.64","120.57","118.49","5.64M","2.22%"
"03/28/2023","117.87","117.95","118.44","116.85","4.44M","0.05%"
"03/27/2023","117.81","121.02","121.07","117.61","6.56M","-2.40%"
"03/24/2023","120.71","120.23","121.00","119.32","6.16M","-0.21%"
"03/23/2023","120.97","120.47","123.27","119.46","7.60M","1.23%"
"03/22/2023","119.50","123.66","125.26","119.33","17.59M","-4.86%"
"03/21/2023","125.61","123.50","126.06","122.97","11.81M","3.64%"
"03/20/2023","121.20","120.99","122.68","119.81","7.55M","0.67%"
"03/17/2023","120.39","121.17","121.73","118.67","12.87M","-0.22%"
"03/16/2023","120.65","116.86","120.81","116.61","5.66M","2.10%"
"03/15/2023","118.17","116.32","118.63","115.81","6.59M","-0.70%"
"03/14/2023","119.00","119.00","119.49","117.23","6.04M","1.83%"
"03/13/2023","116.86","115.82","118.29","115.79","6.04M","-0.54%"
"03/10/2023","117.49","118.83","118.99","116.64","5.98M","-0.32%"
"03/09/2023","117.87","120.08","121.86","117.55","5.63M","-1.66%"
"03/08/2023","119.86","119.27","120.04","118.73","4.18M","0.23%"
"03/07/2023","119.59","120.20","121.02","119.23","5.35M","-0.48%"
"03/06/2023","120.17","121.13","121.99","119.96","5.18M","-0.64%"
"03/03/2023","120.94","120.13","121.04","119.02","3.87M","1.14%"
"03/02/2023","119.58","117.55","119.96","117.55","4.44M","0.84%"
"03/01/2023","118.58","117.95","119.79","117.83","4.11M","-0.18%"
"02/28/2023","118.79","118.74","120.40","117.85","8.41M","0.22%"
"02/27/2023","118.53","119.26","119.82","118.32","4.24M","0.42%"
"02/24/2023","118.04","117.97","118.74","117.34","4.69M","-1.60%"
"02/23/2023","119.96","120.76","120.76","118.55","4.10M","0.05%"
"02/22/2023","119.90","121.10","121.39","119.64","5.02M","-0.99%"
"02/21/2023","121.10","123.28","124.00","120.98","5.11M","-3.00%"
"02/17/2023","124.84","123.71","124.89","123.43","5.16M","0.37%"
"02/16/2023","124.38","125.43","127.21","124.11","4.72M","-2.43%"
"02/15/2023","127.48","124.90","127.50","124.90","5.68M","1.01%"
"02/14/2023","126.20","123.95","126.36","123.74","4.85M","0.84%"
"02/13/2023","125.15","122.82","125.72","122.46","5.69M","2.39%"
"02/10/2023","122.23","121.51","122.64","120.54","5.19M","0.04%"
"02/09/2023","122.18","124.71","125.02","121.50","5.93M","-0.59%"
"02/08/2023","122.91","123.38","124.10","121.80","5.86M","-1.93%"
"02/07/2023","125.33","123.96","125.93","123.25","5.27M","-0.32%"
"02/06/2023","125.73","125.52","126.10","124.32","4.66M","-1.47%"
"02/03/2023","127.61","126.79","129.42","126.44","4.93M","-1.12%"
"02/02/2023","129.06","130.45","131.31","127.86","5.21M","-0.34%"
"02/01/2023","129.50","127.90","130.22","126.22","6.37M","1.70%"
