"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2023","61.98","60.81","62.23","60.61","4.41M","2.14%"
"04/27/2023","60.68","60.14","60.93","60.03","4.11M","0.31%"
"04/26/2023","60.49","61.30","61.45","60.28","3.46M","-0.36%"
"04/25/2023","60.71","61.53","61.58","60.28","4.80M","-2.08%"
"04/24/2023","62.00","61.26","62.07","61.23","3.08M","0.88%"
"04/21/2023","61.46","61.44","61.58","61.12","3.70M","-0.31%"
"04/20/2023","61.65","60.85","61.66","60.83","4.53M","0.24%"
"04/19/2023","61.50","61.46","61.64","61.26","3.73M","-0.66%"
"04/18/2023","61.91","61.40","61.95","61.24","3.32M","0.68%"
"04/17/2023","61.49","61.57","61.69","61.20","3.91M","-0.92%"
"04/14/2023","62.06","62.11","62.31","61.65","3.60M","-0.02%"
"04/13/2023","62.07","61.75","62.15","61.56","3.57M","1.12%"
"04/12/2023","61.38","61.69","61.84","61.26","4.03M","0.99%"
"04/11/2023","60.78","61.00","61.10","60.72","3.81M","-0.03%"
"04/10/2023","60.80","60.23","60.96","60.23","2.85M","0.38%"
"04/06/2023","60.57","60.47","60.88","60.13","4.34M","1.17%"
"04/05/2023","59.87","59.70","59.91","59.01","3.74M","0.62%"
"04/04/2023","59.50","60.20","60.21","59.11","5.16M","-1.67%"
"04/03/2023","60.51","60.75","61.13","60.00","7.79M","5.16%"
"03/31/2023","57.54","57.55","57.79","57.36","5.17M","-0.69%"
"03/30/2023","57.94","58.11","58.13","57.53","3.52M","1.44%"
"03/29/2023","57.12","57.14","57.15","56.77","3.25M","1.69%"
"03/28/2023","56.17","55.60","56.56","55.53","5.30M","0.59%"
"03/27/2023","55.84","55.19","56.08","54.87","4.77M","2.33%"
"03/24/2023","54.57","53.95","54.83","53.74","9.65M","-2.50%"
"03/23/2023","55.97","56.99","57.35","55.54","7.50M","-1.55%"
"03/22/2023","56.85","56.98","57.96","56.83","7.10M","-0.47%"
"03/21/2023","57.12","57.17","57.44","56.33","7.02M","3.40%"
"03/20/2023","55.24","54.76","55.63","54.48","5.50M","2.39%"
"03/17/2023","53.95","54.55","54.71","53.58","8.85M","-1.26%"
"03/16/2023","54.64","53.07","54.71","52.47","12.51M","-1.64%"
"03/15/2023","55.55","55.57","56.02","54.51","11.41M","-6.48%"
"03/14/2023","59.40","59.39","60.38","58.83","4.93M","0.51%"
"03/13/2023","59.10","58.31","60.16","58.08","6.70M","-2.09%"
"03/10/2023","60.36","61.25","61.69","60.19","4.49M","-0.49%"
"03/09/2023","60.66","61.25","61.67","60.54","3.35M","-1.16%"
"03/08/2023","61.37","61.51","61.93","61.02","2.84M","-0.37%"
"03/07/2023","61.60","62.35","62.36","61.32","3.15M","-1.55%"
"03/06/2023","62.57","62.31","62.73","62.16","3.31M","0.43%"
"03/03/2023","62.30","61.42","62.42","61.30","4.21M","-0.19%"
"03/02/2023","62.42","61.52","62.49","61.37","4.04M","0.77%"
"03/01/2023","61.94","61.50","62.08","61.25","4.29M","1.93%"
"02/28/2023","60.77","61.58","61.60","60.75","5.06M","-0.70%"
"02/27/2023","61.20","60.90","61.54","60.59","4.71M","0.94%"
"02/24/2023","60.63","59.57","60.69","59.34","5.07M","0.61%"
"02/23/2023","60.26","59.81","60.44","59.62","4.14M","2.22%"
"02/22/2023","58.95","59.61","59.72","58.67","4.31M","-1.86%"
"02/21/2023","60.07","60.14","60.50","60.05","3.07M","-0.97%"
"02/17/2023","60.66","61.13","61.22","60.50","5.07M","-2.00%"
"02/16/2023","61.90","61.71","62.38","61.59","5.07M","-0.90%"
"02/15/2023","62.46","62.01","62.57","61.63","6.93M","-0.19%"
"02/14/2023","62.58","61.87","62.75","61.72","5.79M","1.21%"
"02/13/2023","61.83","61.55","61.99","61.37","4.52M","0.11%"
"02/10/2023","61.76","60.95","61.85","60.76","7.37M","3.29%"
"02/09/2023","59.79","60.17","60.34","59.72","4.87M","0.54%"
"02/08/2023","59.47","59.63","59.88","58.84","5.20M","-0.23%"
"02/07/2023","59.61","58.31","59.72","58.24","4.81M","3.04%"
"02/06/2023","57.85","58.00","58.19","57.21","5.38M","-0.77%"
"02/03/2023","58.30","58.16","59.13","57.96","5.75M","1.16%"
"02/02/2023","57.63","59.63","59.64","56.91","9.65M","-1.18%"
"02/01/2023","58.32","58.68","58.89","57.50","5.28M","-0.83%"
