"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2023","164.31","160.90","165.00","157.32","122.52M","2.57%"
"04/27/2023","160.19","152.64","160.48","152.37","125.99M","4.19%"
"04/26/2023","153.75","160.29","160.67","153.14","152.25M","-4.31%"
"04/25/2023","160.67","159.82","163.47","158.75","120.69M","-1.16%"
"04/24/2023","162.55","164.65","165.65","158.61","139.38M","-1.53%"
"04/21/2023","165.08","164.80","166.00","161.32","123.54M","1.28%"
"04/20/2023","162.99","166.16","169.70","160.56","210.97M","-9.75%"
"04/19/2023","180.59","179.10","183.50","177.65","114.00M","-2.02%"
"04/18/2023","184.31","187.15","187.69","183.58","91.46M","-1.46%"
"04/17/2023","187.04","186.32","189.69","182.69","116.66M","1.10%"
"04/14/2023","185.00","183.95","186.28","182.01","96.44M","-0.48%"
"04/13/2023","185.90","182.96","186.50","180.94","112.33M","2.97%"
"04/12/2023","180.54","190.74","191.58","180.31","149.25M","-3.35%"
"04/11/2023","186.79","186.69","189.19","185.65","115.18M","1.24%"
"04/10/2023","184.51","179.94","185.10","176.11","141.56M","-0.30%"
"04/06/2023","185.06","183.08","186.39","179.74","123.86M","-0.25%"
"04/05/2023","185.52","190.51","190.68","183.76","133.20M","-3.67%"
"04/04/2023","192.58","197.32","198.74","190.32","125.90M","-1.12%"
"04/03/2023","194.77","199.91","202.69","192.20","168.60M","-6.12%"
"03/31/2023","207.46","197.53","207.79","197.20","170.22M","6.24%"
"03/30/2023","195.28","195.58","197.33","194.42","109.61M","0.72%"
"03/29/2023","193.88","193.13","195.29","189.44","123.66M","2.48%"
"03/28/2023","189.19","192.00","192.35","185.43","98.18M","-1.37%"
"03/27/2023","191.81","194.41","197.39","189.94","120.25M","0.74%"
"03/24/2023","190.41","191.65","192.36","187.15","116.53M","-0.94%"
"03/23/2023","192.22","195.26","199.31","188.65","143.36M","0.56%"
"03/22/2023","191.15","199.30","200.66","190.95","149.07M","-3.25%"
"03/21/2023","197.58","188.28","198.00","188.04","152.57M","7.82%"
"03/20/2023","183.25","178.08","186.44","176.35","129.31M","1.73%"
"03/17/2023","180.13","184.51","186.22","177.33","133.20M","-2.17%"
"03/16/2023","184.13","180.37","185.81","178.84","121.37M","2.04%"
"03/15/2023","180.45","180.80","182.34","176.03","144.60M","-1.53%"
"03/14/2023","183.26","177.31","183.80","177.14","142.66M","5.03%"
"03/13/2023","174.48","167.46","177.35","163.91","167.79M","0.60%"
"03/10/2023","173.44","175.13","178.29","168.44","191.49M","0.30%"
"03/09/2023","172.92","180.25","185.18","172.51","167.50M","-4.99%"
"03/08/2023","182.00","185.04","186.50","180.00","151.90M","-3.04%"
"03/07/2023","187.71","191.38","194.20","186.10","148.13M","-3.15%"
"03/06/2023","193.81","198.54","198.60","192.30","128.10M","-2.01%"
"03/03/2023","197.79","194.79","200.48","192.88","153.44M","3.61%"
"03/02/2023","190.90","186.74","193.75","186.01","180.86M","-5.85%"
"03/01/2023","202.77","206.21","207.20","198.52","145.64M","-1.43%"
"02/28/2023","205.71","210.59","211.23","203.75","153.14M","-0.92%"
"02/27/2023","207.63","202.03","209.42","201.26","161.03M","5.46%"
"02/24/2023","196.88","196.32","197.67","192.80","142.23M","-2.57%"
"02/23/2023","202.07","203.91","205.14","196.33","146.36M","0.60%"
"02/22/2023","200.86","197.93","201.99","191.78","191.83M","1.77%"
"02/21/2023","197.37","204.99","209.71","197.22","180.02M","-5.25%"
"02/17/2023","208.31","199.99","208.44","197.50","213.74M","3.10%"
"02/16/2023","202.04","210.78","217.65","201.84","225.50M","-5.69%"
"02/15/2023","214.24","211.76","214.66","206.11","180.17M","2.38%"
"02/14/2023","209.25","191.94","209.82","189.44","216.46M","7.51%"
"02/13/2023","194.64","194.41","196.30","187.61","171.90M","-1.14%"
"02/10/2023","196.89","202.23","206.20","192.89","204.75M","-5.03%"
"02/09/2023","207.32","207.77","214.00","204.77","213.30M","3.00%"
"02/08/2023","201.29","196.10","203.00","194.31","179.60M","2.28%"
"02/07/2023","196.81","196.43","197.50","189.55","185.21M","1.05%"
"02/06/2023","194.76","193.01","198.17","189.92","185.36M","2.52%"
"02/03/2023","189.98","183.95","199.00","183.69","232.66M","0.91%"
"02/02/2023","188.27","187.32","196.75","182.61","215.01M","3.78%"
"02/01/2023","181.41","173.89","183.80","169.93","210.47M","4.73%"
