AMD,AMZN,BAC,GOOG,GS,K,KO,META,NKE,SHEL,SPY
12.63,1.96,1.24,1.56,-0.03,-0.47,0.02,2.79,1.7,-0.83,1.06
4.34,7.38,0.58,7.27,1.03,-0.92,-1.71,23.28,-0.34,-1.18,1.46
-2.51,-8.43,0.83,-3.29,0.13,-0.03,-0.75,-1.19,-1.12,1.16,-1.06
-2.8,-1.17,-0.16,-1.66,0.23,2.07,0.57,-0.25,-1.47,-0.77,-0.61
2.66,-0.07,1.1,4.42,0.97,-1.46,-0.17,2.99,-0.32,3.04,1.31
-1.42,-2.02,-0.73,-7.44,0.19,-1.18,-0.58,-4.27,-1.93,-0.23,-1.09
-1.75,-1.81,-2.14,-4.54,-1.9,-0.1,-0.17,-3.0,-0.59,0.54,-0.87
-2.08,-0.64,-0.39,-0.63,0.89,0.83,0.0,-2.12,0.04,3.29,0.23
2.03,1.98,0.2,0.15,0.74,1.02,1.64,3.03,2.39,0.11,1.17
3.39,0.16,-0.08,-0.05,-0.6,-1.73,-1.67,0.03,0.84,1.21,-0.05
-0.9,1.46,-0.17,2.26,0.69,-0.03,0.0,-1.29,1.01,-0.19,0.32
-5.99,-2.98,-0.79,-1.36,-1.11,-0.51,-0.62,-2.66,-2.43,-0.9,-1.38
-1.97,-0.97,0.2,-1.24,-0.46,2.3,1.52,0.26,0.37,-2.0,-0.25
-2.2,-2.7,-2.35,-2.69,-2.0,0.78,-0.53,-0.46,-3.0,-0.97,-2.01
-0.21,1.28,-0.67,-0.27,-0.06,-1.03,0.3,-0.56,-0.99,-1.86,-0.14
4.1,0.03,-0.09,-0.8,0.73,0.01,0.18,0.54,0.05,2.22,0.53
-2.08,-2.42,-0.15,-1.89,0.09,-0.78,-0.42,-0.96,-1.6,0.61,-1.07
0.87,0.28,0.0,0.84,0.46,-0.25,-0.03,-0.5,0.42,0.94,0.34
-0.24,0.5,0.26,0.22,-3.8,-2.33,-0.52,3.19,0.22,-0.7,-0.37
