price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,airconditioning,parking,prefarea,furnished
1.75,3.62,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.695,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.87,3.04,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.59,3.6,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4.515,9.86,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4.41,3.968,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.585,3.84,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
5.25,9.8,4.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
3.57,3.64,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.64,3.52,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
9.8,13.2,3.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0
2.94,2.7,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.083,4.3,6.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
3.255,4.5,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.893,4.995,4.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3.15,3.069,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2.975,4.352,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6.93,8.88,3.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
3.5,12.944,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5.88,7.16,3.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0
3.5,3.6,6.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
4.235,6.65,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3.71,4.05,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4.06,3.0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0
2.345,3.64,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4.55,5.36,3.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
10.15,16.2,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.64,5.96,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.66,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.233,5.3,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2.135,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.277,3.4,3.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0
6.23,5.5,3.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
6.3,6.4,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.92,5.5,4.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
7.35,6.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
8.4,7.475,3.0,2.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
5.215,3.18,3.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
7.42,7.44,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
6.23,6.6,3.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
4.9,2.97,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4.55,8.4,4.0,1.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
4.06,4.34,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
